CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.09.01;Atribuído a Sócios da Empresa Controladora;11296009.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2009-01-01;2009-12-31;3.09.02;Atribuído a Sócios Não Controladores;36450.00
00.000.000/0001-91;2010-12-31;3;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.09.02;Atribuído a Sócios Não Controladores;34336.00
00.000.208/0001-00;2010-12-31;2;BRB BCO DE BRASILIA S.A.;14206;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.01;Receitas da Intermediação Financeira;1425290.00
00.000.208/0001-00;2010-12-31;2;BRB BCO DE BRASILIA S.A.;14206;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.01.01;Operações de Crédito;1125790.00
00.000.208/0001-00;2010-12-31;2;BRB BCO DE BRASILIA S.A.;14206;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.01.02;Resultado de Aplicações Interfinanceiras de Liquidez e Títulos e Valores Mobiliários;251083.00
00.000.208/0001-00;2010-12-31;2;BRB BCO DE BRASILIA S.A.;14206;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.01.03;Resultado com Instrumentos Financeiros Derivativos;1914.00
00.000.208/0001-00;2010-12-31;2;BRB BCO DE BRASILIA S.A.;14206;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.01.04;Resultado de Operações de Câmbio;1763.00
00.000.208/0001-00;2010-12-31;2;BRB BCO DE BRASILIA S.A.;14206;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.01.05;Resultado de Aplicações Compulsórias;44740.00
00.000.208/0001-00;2010-12-31;2;BRB BCO DE BRASILIA S.A.;14206;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.02;Despesas da Intermediação Financeira;-448285.00
